"ticker";"2018";"2019";"2020";"2021";"2022";"2023"
"CME";567120000000;471750000000;365350000000;282100000000;160490000000;72980000000
"CMS";514070000000;417840000000;317460000000;218840000000;118380000000;16150000000
"KO";5202080000000;4236890000000;3235670000000;2255750000000;1275080000000;256470000000
"CTSH";536620000000;433980000000;343810000000;246600000000;129390000000;36220000000
"CL";551360000000;458830000000;373290000000;271920000000;165800000000;60570000000
"CMCSA";5154100000000;4204740000000;3239740000000;2229950000000;1150850000000;188640000000
"CMA";510990000000;410190000000;37760000000;211360000000;18750000000;6410000000
"CAG";510370000000;416660000000;317710000000;216380000000;118540000000;14010000000
"CXO";320580000000;217310000000;111450000000;12870000000;0;0
"COP";570970000000;470540000000;342700000000;295200000000;1147030000000;146260000000
"ED";524540000000;430090000000;324200000000;230180000000;133820000000;30610000000
"STZ";530620000000;436340000000;342450000000;247040000000;142750000000;47560000000
"CEG";0;0;0;0;128190000000;34800000000
"COO";512520000000;415760000000;317840000000;220690000000;116320000000;18050000000
"CPRT";511180000000;421130000000;330040000000;235960000000;129000000000;43180000000
"GLW";523800000000;422180000000;327500000000;230900000000;127010000000;28020000000
"CTVA";0;422120000000;328840000000;234460000000;141990000000;36270000000
"CSGP";512290000000;421930000000;336430000000;231210000000;131420000000;33710000000
"COST";589730000000;4129840000000;3166890000000;2251730000000;1202610000000;241180000000
"CTRA";59440000000;46920000000;36490000000;215450000000;119370000000;21480000000
"COTY";54920000000;48550000000;35370000000;28590000000;17270000000;9860000000
"CCI";545080000000;459130000000;368650000000;290210000000;158730000000;43260000000
"CSX";550820000000;455930000000;369400000000;283390000000;165130000000;61450000000
"CMI";521110000000;426960000000;333610000000;231200000000;134160000000;33510000000
"CVS";584840000000;496720000000;389390000000;2136170000000;1122440000000;84340000000
"DHR";572330000000;4106740000000;3157800000000;2235100000000;1193210000000;196090000000
"DRI";512330000000;413240000000;315500000000;219240000000;116920000000;18800000000
"DVA";58560000000;49440000000;313140000000;211590000000;16720000000;9400000000
"DE";547710000000;454540000000;384300000000;2105670000000;1127870000000;122810000000
"DAL";533920000000;437580000000;325640000000;225010000000;121060000000;27570000000
"XRAY";58290000000;412520000000;311440000000;212190000000;16840000000;7930000000
"DVN";510120000000;49920000000;36040000000;229820000000;140200000000;33950000000
"DXCM";510780000000;420030000000;335500000000;252040000000;144440000000;9900000000
"FANG";515220000000;414760000000;37640000000;219530000000;124880000000;27710000000
"DLR";521990000000;425010000000;339080000000;250190000000;129460000000;40840000000
"DFS";519540000000;426300000000;327740000000;233280000000;126720000000;23010000000
"DISH";511660000000;418550000000;317010000000;217150000000;17450000000;3180000000
"DG";528410000000;439710000000;351520000000;254640000000;155050000000;28570000000
"DLTR";521490000000;422250000000;325410000000;231610000000;131280000000;26120000000
"D";548660000000;469400000000;361340000000;263620000000;151090000000;40060000000
"DPZ";510160000000;411430000000;315100000000;220510000000;112260000000;13720000000
"DOV";510280000000;416630000000;318190000000;226140000000;119000000000;20790000000
"DOW";0;440580000000;341160000000;241700000000;135460000000;38870000000
"DHI";512930000000;419320000000;325130000000;238620000000;130710000000;40650000000
"DTE";520060000000;424960000000;323500000000;223150000000;122770000000;21060000000
"DUK";562740000000;466850000000;367380000000;280700000000;179300000000;67760000000
"DRE";59290000000;412750000000;314860000000;224990000000;118730000000;18730000000
"DD";5121340000000;447410000000;352180000000;241850000000;134090000000;35790000000
"DXC";514340000000;49520000000;36550000000;28110000000;16090000000;4440000000
"EMN";510210000000;410770000000;313580000000;216250000000;19770000000;10190000000
"ETN";529080000000;439140000000;347880000000;268880000000;162410000000;93230000000
"EBAY";525680000000;428740000000;334630000000;241620000000;122500000000;24000000000
"ECL";542390000000;455650000000;361750000000;267220000000;141450000000;52070000000
"EIX";518490000000;427290000000;323770000000;225920000000;124290000000;26220000000
"EW";531810000000;448780000000;356850000000;280880000000;146120000000;46430000000
"EA";523750000000;431280000000;341620000000;237300000000;133730000000;32650000000
"ELV";567590000000;476390000000;378790000000;2112070000000;1123110000000;104240000000
"LLY";5122380000000;4125840000000;3161500000000;2264220000000;1347610000000;528860000000
"EMR";536790000000;446640000000;348170000000;255380000000;155930000000;56530000000
"ENPH";5500000000;43210000000;322160000000;224680000000;136010000000;17550000000
"ETR";516270000000;423850000000;319990000000;222640000000;123730000000;19940000000
"EOG";550580000000;448740000000;329090000000;251970000000;176070000000;76600000000
"EPAM";56270000000;411700000000;320060000000;237910000000;118840000000;14980000000
"EQT";54800000000;42780000000;33500000000;28240000000;112410000000;18180000000
"EFX";511230000000;416980000000;323450000000;235720000000;123790000000;25380000000
"EQIX";528450000000;449790000000;363630000000;276160000000;160610000000;72740000000
"EQR";524380000000;430070000000;322060000000;233930000000;123120000000;24250000000
"ESS";516150000000;419880000000;315480000000;222920000000;114200000000;15780000000
"EL";547070000000;474220000000;396250000000;2133250000000;188520000000;57830000000
"ETFC";210810000000;110100000000;10890000000;0;0;0
"ETSY";55690000000;45240000000;322430000000;227750000000;115050000000;9200000000
"EG";58850000000;411290000000;39350000000;210780000000;112970000000;15830000000
"EVRG";514490000000;414750000000;312590000000;215730000000;114440000000;12310000000
"ES";520610000000;428060000000;329650000000;231270000000;129200000000;22000000000
"EXC";543650000000;444350000000;341180000000;256500000000;142950000000;39790000000
"EXPE";516570000000;415420000000;318720000000;227380000000;113670000000;15700000000
"EXPD";511680000000;413230000000;316090000000;222740000000;116530000000;17210000000
"EXR";511500000000;413680000000;314970000000;230350000000;120680000000;28140000000
"XOM";5288920000000;4295440000000;3174280000000;2259380000000;1454240000000;452540000000
"FFIV";59730000000;48490000000;310830000000;214850000000;18660000000;9760000000
"FDS";57610000000;410170000000;312630000000;218360000000;115280000000;16610000000
"FAST";514940000000;421210000000;328030000000;236860000000;127100000000;32720000000
"FRT";58760000000;49720000000;36430000000;210600000000;18270000000;8050000000
"FDX";542110000000;439480000000;368810000000;268530000000;143710000000;65630000000
"FIS";533530000000;485400000000;387770000000;266460000000;140260000000;33580000000
"FITB";515210000000;421790000000;319650000000;229730000000;122410000000;18410000000
"FE";519220000000;426270000000;316600000000;223710000000;123970000000;20460000000
"FRC";514320000000;419800000000;325300000000;237020000000;122290000000;650000000
"FSLR";54450000000;45900000000;310480000000;29260000000;115960000000;19910000000
"FI";528840000000;478610000000;376120000000;268520000000;164180000000;74860000000
"FLT";515940000000;424550000000;322750000000;218170000000;113540000000;20180000000
"FLIR";35900000000;26990000000;15740000000;7560000000;0;0
"FLS";54960000000;46490000000;34800000000;23980000000;14000000000;5270000000
"FMC";59780000000;412880000000;314910000000;213920000000;115720000000;10730000000
"F";531140000000;437960000000;334970000000;283000000000;146750000000;48580000000
"FTNT";511950000000;418330000000;324110000000;258760000000;138190000000;47800000000
"FTV";522630000000;425660000000;323880000000;227350000000;122730000000;27810000000
"FOX";0;422450000000;317270000000;220360000000;116030000000;14670000000
"BEN";515170000000;412920000000;312640000000;216820000000;113190000000;13400000000
"FCX";514930000000;419030000000;337800000000;261270000000;154310000000;59480000000
"GPS";59730000000;46590000000;37550000000;26590000000;14110000000;4310000000
"GRMN";511990000000;418600000000;322880000000;226180000000;117680000000;20300000000
"IT";511460000000;413730000000;314300000000;227490000000;126560000000;27590000000
"GEN";512070000000;415900000000;312290000000;215120000000;113950000000;13080000000
"GNRC";53080000000;46290000000;314290000000;222200000000;16370000000;7400000000
"GD";545380000000;451070000000;342700000000;257870000000;168110000000;61800000000
"GE";565870000000;497520000000;394600000000;2103740000000;191550000000;124330000000
"GIS";523230000000;432390000000;335950000000;240640000000;149430000000;38500000000
"GM";546830000000;451240000000;359590000000;285120000000;147790000000;46140000000
"GPC";514010000000;415440000000;314490000000;219960000000;124490000000;21770000000
"GILD";580180000000;482260000000;373030000000;291050000000;1107670000000;95500000000
"GPN";516290000000;454800000000;364480000000;239220000000;126850000000;33620000000
"GL";58240000000;411330000000;39930000000;29460000000;111720000000;10560000000
"GS";561430000000;479860000000;390730000000;2127610000000;1116280000000;107930000000
