,Ticker,Security
293,L,Loews Corporation
294,LOW,Lowe's
295,LYB,LyondellBasell
296,MTB,M&T Bank
297,MRO,Marathon Oil
298,MPC,Marathon Petroleum
299,MKTX,MarketAxess
300,MAR,Marriott International
301,MMC,Marsh McLennan
302,MLM,Martin Marietta Materials
303,MAS,Masco
304,MA,Mastercard
305,MTCH,Match Group
306,MKC,McCormick & Company
307,MCD,McDonald's
308,MCK,McKesson
309,MDT,Medtronic
310,MRK,Merck & Co.
311,META,Meta Platforms
312,MET,MetLife
313,MTD,Mettler Toledo
314,MGM,MGM Resorts
315,MCHP,Microchip Technology
316,MU,Micron Technology
317,MSFT,Microsoft
318,MAA,Mid-America Apartment Communities
319,MRNA,Moderna
320,MHK,Mohawk Industries
321,MOH,Molina Healthcare
322,TAP,Molson Coors Beverage Company
323,MDLZ,Mondelez International
324,MPWR,Monolithic Power Systems
325,MNST,Monster Beverage
326,MCO,Moody's Corporation
327,MS,Morgan Stanley
328,MOS,Mosaic Company (The)
329,MSI,Motorola Solutions
330,MSCI,MSCI
331,NDAQ,"Nasdaq, Inc."
332,NTAP,NetApp
333,NFLX,Netflix
334,NWL,Newell Brands
335,NEM,Newmont
336,NWSA,News Corp (Class A)
337,NWS,News Corp (Class B)
338,NEE,NextEra Energy
339,NKE,"Nike, Inc."
340,NI,NiSource
341,NDSN,Nordson Corporation
342,NSC,Norfolk Southern Railway
343,NTRS,Northern Trust
344,NOC,Northrop Grumman
345,NCLH,Norwegian Cruise Line Holdings
346,NRG,NRG Energy
347,NUE,Nucor
348,NVDA,Nvidia
349,NVR,"NVR, Inc."
350,NXPI,NXP Semiconductors
351,ORLY,O'Reilly Auto Parts
352,OXY,Occidental Petroleum
353,ODFL,Old Dominion
354,OMC,Omnicom Group
355,ON,ON Semiconductor
356,OKE,ONEOK
357,ORCL,Oracle Corporation
358,OGN,Organon & Co.
359,OTIS,Otis Worldwide
360,PCAR,Paccar
361,PKG,Packaging Corporation of America
363,PARA,Paramount Global
364,PH,Parker Hannifin
365,PAYX,Paychex
366,PAYC,Paycom
367,PYPL,PayPal
368,PNR,Pentair
369,PEP,PepsiCo
370,PFE,Pfizer
371,PCG,PG&E Corporation
372,PM,Philip Morris International
373,PSX,Phillips 66
374,PNW,Pinnacle West
375,PXD,Pioneer Natural Resources
376,PNC,PNC Financial Services
377,POOL,Pool Corporation
378,PPG,PPG Industries
379,PPL,PPL Corporation
380,PFG,Principal Financial Group
381,PG,Procter & Gamble
382,PGR,Progressive Corporation
383,PLD,Prologis
384,PRU,Prudential Financial
385,PEG,Public Service Enterprise Group
386,PTC,PTC
387,PSA,Public Storage
388,PHM,PulteGroup
389,QRVO,Qorvo
390,PWR,Quanta Services
391,QCOM,Qualcomm
392,DGX,Quest Diagnostics
393,RL,Ralph Lauren Corporation
394,RJF,Raymond James
395,RTX,RTX Corporation
396,O,Realty Income
397,REG,Regency Centers
398,REGN,Regeneron
399,RF,Regions Financial Corporation
400,RSG,Republic Services
401,RMD,ResMed
402,RVTY,Revvity
403,RHI,Robert Half
404,ROK,Rockwell Automation
405,ROL,"Rollins, Inc."
406,ROP,Roper Technologies
407,ROST,Ross Stores
408,RCL,Royal Caribbean Group
409,SPGI,S&P Global
410,CRM,Salesforce
411,SBAC,SBA Communications
412,SLB,Schlumberger
413,STX,Seagate Technology
414,SEE,Sealed Air
415,SRE,Sempra Energy
416,NOW,ServiceNow
417,SHW,Sherwin-Williams
418,SPG,Simon Property Group
419,SWKS,Skyworks Solutions
420,SJM,J.M. Smucker Company (The)
421,SNA,Snap-on
422,SEDG,SolarEdge
423,SO,Southern Company
424,LUV,Southwest Airlines
425,SWK,Stanley Black & Decker
426,SBUX,Starbucks
427,STT,State Street Corporation
428,STLD,Steel Dynamics
429,STE,Steris
430,SYK,Stryker Corporation
431,SYF,Synchrony Financial
432,SNPS,Synopsys
433,SYY,Sysco
434,TMUS,T-Mobile US
435,TROW,T. Rowe Price
436,TTWO,Take-Two Interactive
437,TPR,"Tapestry, Inc."
438,TRGP,Targa Resources
439,TGT,Target Corporation
440,TEL,TE Connectivity
441,TDY,Teledyne Technologies
442,TFX,Teleflex
443,TER,Teradyne
444,TSLA,"Tesla, Inc."
445,TXN,Texas Instruments
446,TXT,Textron
447,TMO,Thermo Fisher Scientific
448,TJX,TJX Companies
449,TSCO,Tractor Supply
450,TT,Trane Technologies
451,TDG,TransDigm Group
452,TRV,Travelers Companies (The)
453,TRMB,Trimble Inc.
454,TFC,Truist
455,TYL,Tyler Technologies
456,TSN,Tyson Foods
457,USB,U.S. Bank
458,UDR,"UDR, Inc."
459,ULTA,Ulta Beauty
460,UNP,Union Pacific Corporation
461,UAL,United Airlines Holdings
462,UPS,United Parcel Service
463,URI,United Rentals
464,UNH,UnitedHealth Group
465,UHS,Universal Health Services
466,VLO,Valero Energy
467,VTR,Ventas
468,VRSN,Verisign
469,VRSK,Verisk
470,VZ,Verizon
471,VRTX,Vertex Pharmaceuticals
472,VFC,VF Corporation
473,VTRS,Viatris
474,VICI,Vici Properties
475,V,Visa Inc.
476,VMC,Vulcan Materials Company
477,WAB,Wabtec
478,WBA,Walgreens Boots Alliance
479,WMT,Walmart
480,WBD,Warner Bros. Discovery
481,WM,Waste Management
482,WAT,Waters Corporation
483,WEC,WEC Energy Group
484,WFC,Wells Fargo
485,WELL,Welltower
486,WST,West Pharmaceutical Services
487,WDC,Western Digital
488,WRK,WestRock
489,WY,Weyerhaeuser
490,WHR,Whirlpool Corporation
491,WMB,Williams Companies
492,WTW,Willis Towers Watson
493,GWW,W. W. Grainger
494,WYNN,Wynn Resorts
495,XEL,Xcel Energy
496,XYL,Xylem Inc.
497,YUM,Yum! Brands
498,ZBRA,Zebra Technologies
499,ZBH,Zimmer Biomet
500,ZION,Zions Bancorporation
501,ZTS,Zoetis
2023,AAP,Advance Auto Parts
2023,DISH,Dish Network
2023,FRC,First Republic Bank
2023,LUMN,Lumen Technologies
2023,SBNY,Signature Bank
2023,SIVB,SVB Financial Group
2023,VNO,Vornado Realty Trust
2023,-----,-----
