,Ticker,Security
345,ORLY,O'Reilly Auto Parts
346,OXY,Occidental Petroleum
347,ODFL,Old Dominion
348,OMC,Omnicom Group
350,OKE,ONEOK
351,ORCL,Oracle Corporation
352,OGN,Organon & Co.
353,OTIS,Otis Worldwide
354,PCAR,Paccar
355,PKG,Packaging Corporation of America
356,PARA,Paramount Global
357,PH,Parker Hannifin
358,PAYX,Paychex
359,PAYC,Paycom
360,PYPL,PayPal
361,PNR,Pentair
362,PEP,PepsiCo
363,PFE,Pfizer
364,PCG,PG&E Corporation
365,PM,Philip Morris International
366,PSX,Phillips 66
367,PNW,Pinnacle West
368,PXD,Pioneer Natural Resources
369,PNC,PNC Financial Services
370,POOL,Pool Corporation
371,PPG,PPG Industries
372,PPL,PPL Corporation
373,PFG,Principal Financial Group
374,PG,Procter & Gamble
375,PGR,Progressive Corporation
376,PLD,Prologis
377,PRU,Prudential Financial
378,PEG,Public Service Enterprise Group
379,PTC,PTC
380,PSA,Public Storage
381,PHM,PulteGroup
382,QRVO,Qorvo
383,PWR,Quanta Services
384,QCOM,Qualcomm
385,DGX,Quest Diagnostics
386,RL,Ralph Lauren Corporation
387,RJF,Raymond James
388,RTX,RTX Corporation
389,O,Realty Income
390,REG,Regency Centers
391,REGN,Regeneron
392,RF,Regions Financial Corporation
393,RSG,Republic Services
394,RMD,ResMed
395,RVTY,Revvity
396,RHI,Robert Half
397,ROK,Rockwell Automation
398,ROL,"Rollins, Inc."
399,ROP,Roper Technologies
400,ROST,Ross Stores
401,RCL,Royal Caribbean Group
402,SPGI,S&P Global
403,CRM,Salesforce
404,SBAC,SBA Communications
405,SLB,Schlumberger
406,STX,Seagate Technology
407,SEE,Sealed Air
408,SRE,Sempra Energy
409,NOW,ServiceNow
410,SHW,Sherwin-Williams
411,SPG,Simon Property Group
412,SWKS,Skyworks Solutions
413,SJM,J.M. Smucker Company (The)
414,SNA,Snap-on
415,SEDG,SolarEdge
416,SO,Southern Company
417,LUV,Southwest Airlines
418,SWK,Stanley Black & Decker
419,SBUX,Starbucks
420,STT,State Street Corporation
422,STE,Steris
423,SYK,Stryker Corporation
424,SYF,Synchrony Financial
425,SNPS,Synopsys
426,SYY,Sysco
427,TMUS,T-Mobile US
428,TROW,T. Rowe Price
429,TTWO,Take-Two Interactive
430,TPR,"Tapestry, Inc."
432,TGT,Target Corporation
433,TEL,TE Connectivity
434,TDY,Teledyne Technologies
435,TFX,Teleflex
436,TER,Teradyne
437,TSLA,"Tesla, Inc."
438,TXN,Texas Instruments
439,TXT,Textron
440,TMO,Thermo Fisher Scientific
441,TJX,TJX Companies
442,TSCO,Tractor Supply
443,TT,Trane Technologies
444,TDG,TransDigm Group
445,TRV,Travelers Companies (The)
446,TRMB,Trimble Inc.
447,TFC,Truist
448,TYL,Tyler Technologies
449,TSN,Tyson Foods
450,USB,U.S. Bank
451,UDR,"UDR, Inc."
452,ULTA,Ulta Beauty
453,UNP,Union Pacific Corporation
454,UAL,United Airlines Holdings
455,UPS,United Parcel Service
456,URI,United Rentals
457,UNH,UnitedHealth Group
458,UHS,Universal Health Services
459,VLO,Valero Energy
460,VTR,Ventas
461,VRSN,Verisign
462,VRSK,Verisk
463,VZ,Verizon
464,VRTX,Vertex Pharmaceuticals
465,VFC,VF Corporation
466,VTRS,Viatris
468,V,Visa Inc.
469,VMC,Vulcan Materials Company
470,WAB,Wabtec
471,WBA,Walgreens Boots Alliance
472,WMT,Walmart
473,WBD,Warner Bros. Discovery
474,WM,Waste Management
475,WAT,Waters Corporation
476,WEC,WEC Energy Group
477,WFC,Wells Fargo
478,WELL,Welltower
479,WST,West Pharmaceutical Services
480,WDC,Western Digital
481,WRK,WestRock
482,WY,Weyerhaeuser
483,WHR,Whirlpool Corporation
484,WMB,Williams Companies
485,WTW,Willis Towers Watson
486,GWW,W. W. Grainger
487,WYNN,Wynn Resorts
488,XEL,Xcel Energy
489,XYL,Xylem Inc.
490,YUM,Yum! Brands
491,ZBRA,Zebra Technologies
492,ZBH,Zimmer Biomet
493,ZION,Zions Bancorporation
494,ZTS,Zoetis
495,AAP,Advance Auto Parts
496,DISH,Dish Network
497,FRC,First Republic Bank
498,LUMN,Lumen Technologies
499,SBNY,Signature Bank
500,SIVB,SVB Financial Group
501,VNO,Vornado Realty Trust
2022,ABMD,Abiomed
2022,FBHS,Fortune Brands Home & Security
2022,MBC,MasterBrand
2022,-----,-----
2022,TWTR,Twitter
2022,NLSN,Nielsen Holdings
2022,CTXS,Citrix Systems
2022,DRE,Duke Realty
2022,PVH,PVH
2022,PENN,Penn Entertainment
2022,UA,Under Armour
2022,UAA,Under Armour
2022,IPGP,IPG Photonics
2022,CERN,Cerner
2022,PBCT,People's United Financial
2022,INFO,IHS Markit
2022,XLNX,Xilinx
2022,GPS,Gap Inc.
2022,-----,-----
